state,country,confirmed,deaths,date,month,year,population,confirmed_1d,confirmed_moving_avg_7d,confirmed_moving_avg_7d_rate_14d,confirmed_trend,deaths_1d,deaths_moving_avg_7d,deaths_moving_avg_7d_rate_14d,deaths_trend
Acre,Brazil,41689,796,2021-01-01,2021-01,2021,881934.9999999999,,,,,,,,
Acre,Brazil,41941,798,2021-01-02,2021-01,2021,881935.0000000001,252.0,,,,2.0,,,
Acre,Brazil,42046,802,2021-01-03,2021-01,2021,881935.0000000001,105.0,,,,4.0,,,
Acre,Brazil,42117,806,2021-01-04,2021-01,2021,881935.0,71.0,,,,4.0,,,
Acre,Brazil,42170,808,2021-01-05,2021-01,2021,881935.0000000001,53.0,,,,2.0,,,
Acre,Brazil,42378,814,2021-01-06,2021-01,2021,881935.0,208.0,,,,6.0,,,
Acre,Brazil,42478,821,2021-01-07,2021-01,2021,881935.0,100.0,,,,7.0,,,
Acre,Brazil,42814,823,2021-01-08,2021-01,2021,881935.0000000001,336.0,160.71428571428572,,,2.0,3.857142857142857,,
Acre,Brazil,42908,823,2021-01-09,2021-01,2021,881935.0,94.0,138.14285714285714,,,0.0,3.5714285714285716,,
Acre,Brazil,43127,825,2021-01-10,2021-01,2021,881935.0,219.0,154.42857142857142,,,2.0,3.2857142857142856,,
Acre,Brazil,43346,826,2021-01-11,2021-01,2021,881935.0,219.0,175.57142857142858,,,1.0,2.857142857142857,,
Acre,Brazil,43432,827,2021-01-12,2021-01,2021,881935.0,86.0,180.28571428571428,,,1.0,2.7142857142857144,,
Acre,Brazil,43785,829,2021-01-13,2021-01,2021,881935.0,353.0,201.0,,,2.0,2.142857142857143,,
Acre,Brazil,44068,832,2021-01-14,2021-01,2021,881935.0,283.0,227.14285714285714,,,3.0,1.5714285714285714,,
Acre,Brazil,44156,835,2021-01-15,2021-01,2021,881935.0,88.0,191.71428571428572,,,3.0,1.7142857142857142,,
Acre,Brazil,44621,835,2021-01-16,2021-01,2021,881935.0,465.0,244.71428571428572,,,0.0,1.7142857142857142,,
Acre,Brazil,44767,836,2021-01-17,2021-01,2021,881935.0,146.0,234.28571428571428,,,1.0,1.5714285714285714,,
Acre,Brazil,44775,837,2021-01-18,2021-01,2021,881935.0000000001,8.0,204.14285714285714,,,1.0,1.5714285714285714,,
Acre,Brazil,45208,839,2021-01-19,2021-01,2021,881935.0,433.0,253.71428571428572,,,2.0,1.7142857142857142,,
Acre,Brazil,45429,840,2021-01-20,2021-01,2021,881935.0000000001,221.0,234.85714285714286,,,1.0,1.5714285714285714,,
Acre,Brazil,45729,844,2021-01-21,2021-01,2021,881935.0,300.0,237.28571428571428,,,4.0,1.7142857142857142,,
Acre,Brazil,45987,846,2021-01-22,2021-01,2021,881935.0000000001,258.0,261.57142857142856,1.6275555555555554,upward,2.0,1.5714285714285714,0.4074074074074074,downward
Acre,Brazil,46239,848,2021-01-23,2021-01,2021,881935.0,252.0,231.14285714285714,1.673216132368149,upward,2.0,1.8571428571428572,0.52,downward
Acre,Brazil,46429,850,2021-01-24,2021-01,2021,881935.0,190.0,237.42857142857142,1.5374653098982425,upward,2.0,2.0,0.6086956521739131,downward
Acre,Brazil,46539,854,2021-01-25,2021-01,2021,881935.0,110.0,252.0,1.435313262815297,upward,4.0,2.4285714285714284,0.8499999999999999,stable
Acre,Brazil,46774,856,2021-01-26,2021-01,2021,881935.0,235.0,223.71428571428572,1.2408874801901744,upward,2.0,2.4285714285714284,0.894736842105263,stable
Acre,Brazil,47119,858,2021-01-27,2021-01,2021,881935.0,345.0,241.42857142857142,1.201137171286425,upward,2.0,2.5714285714285716,1.2000000000000002,upward
Acre,Brazil,47461,860,2021-01-28,2021-01,2021,881935.0,342.0,247.42857142857142,1.089308176100629,stable,2.0,2.2857142857142856,1.4545454545454546,upward
Acre,Brazil,47936,861,2021-01-29,2021-01,2021,881935.0,475.0,278.42857142857144,1.4523099850968704,upward,1.0,2.142857142857143,1.25,upward
Acre,Brazil,48347,864,2021-01-30,2021-01,2021,881935.0,411.0,301.14285714285717,1.2305896088733217,upward,3.0,2.2857142857142856,1.3333333333333333,upward
Acre,Brazil,48467,867,2021-01-31,2021-01,2021,881935.0,120.0,291.14285714285717,1.2426829268292685,upward,3.0,2.4285714285714284,1.5454545454545454,upward
Acre,Brazil,48820,873,2021-02-01,2021-02,2021,881935.0,353.0,325.85714285714283,1.596221133659902,upward,6.0,2.7142857142857144,1.7272727272727273,upward
Acre,Brazil,49049,876,2021-02-02,2021-02,2021,881935.0,229.0,325.0,1.2809684684684683,upward,3.0,2.857142857142857,1.6666666666666667,upward
Acre,Brazil,49547,879,2021-02-03,2021-02,2021,881934.9999999999,498.0,346.85714285714283,1.4768856447688563,upward,3.0,3.0,1.9090909090909092,upward
Acre,Brazil,49944,882,2021-02-04,2021-02,2021,881935.0,397.0,354.7142857142857,1.4948826008428657,upward,3.0,3.142857142857143,1.8333333333333335,upward
Acre,Brazil,50122,884,2021-02-05,2021-02,2021,881935.0,178.0,312.2857142857143,1.1938831239759695,upward,2.0,3.2857142857142856,2.090909090909091,upward
Acre,Brazil,50454,886,2021-02-06,2021-02,2021,887776.7944216112,332.0,301.0,1.3022249690976515,upward,2.0,3.142857142857143,1.6923076923076923,upward
Acre,Brazil,50546,888,2021-02-07,2021-02,2021,881935.0,92.0,297.0,1.2509025270758123,upward,2.0,3.0,1.5,upward
Acre,Brazil,50694,893,2021-02-08,2021-02,2021,884517.3285719939,148.0,267.7142857142857,1.062358276643991,stable,5.0,2.857142857142857,1.1764705882352942,upward
Acre,Brazil,51269,900,2021-02-09,2021-02,2021,881935.0000000001,575.0,317.14285714285717,1.417624521072797,upward,7.0,3.4285714285714284,1.411764705882353,upward
Acre,Brazil,51679,902,2021-02-10,2021-02,2021,881935.0,410.0,304.57142857142856,1.2615384615384615,upward,2.0,3.2857142857142856,1.2777777777777777,upward
Acre,Brazil,52172,907,2021-02-11,2021-02,2021,881935.0,493.0,318.2857142857143,1.2863741339491916,upward,5.0,3.5714285714285716,1.5625000000000002,upward
Acre,Brazil,52548,910,2021-02-12,2021-02,2021,881934.9999999999,376.0,346.57142857142856,1.2447408927655206,upward,3.0,3.7142857142857144,1.7333333333333334,upward
Acre,Brazil,52920,917,2021-02-13,2021-02,2021,881934.9999999999,372.0,352.2857142857143,1.169829222011385,upward,7.0,4.428571428571429,1.9375000000000002,upward
Acre,Brazil,53027,921,2021-02-14,2021-02,2021,881935.0,107.0,354.42857142857144,1.217369970559372,upward,4.0,4.714285714285714,1.9411764705882355,upward
Acre,Brazil,53455,931,2021-02-15,2021-02,2021,881935.0,428.0,394.42857142857144,1.2104340201665937,upward,10.0,5.428571428571429,2.0,upward
